id,imdb_rating,imdb_votes,rotten_tomatoes_score,metacritic_score,awards,writer,rated,country
787,6.5,574331.0,60.0,55.0,9 wins & 18 nominations total,Simon Kinberg,PG-13,United States
6479,7.2,858848.0,68.0,65.0,9 wins & 23 nominations total,"Mark Protosevich, Akiva Goldsman, Richard Matheson",PG-13,"United States, United Kingdom"
38365,6.0,302341.0,10.0,30.0,3 wins & 4 nominations total,"Adam Sandler, Fred Wolf",PG-13,United States
508883,7.4,101198.0,96.0,91.0,Won 1 Oscar. 34 wins & 86 nominations total,Hayao Miyazaki,PG-13,Japan
2322,7.1,65345.0,80.0,65.0,2 nominations total,"Phil Alden Robinson, Lawrence Lasker, Walter F. Parkes",PG-13,United States
1041613,5.8,56107.0,72.0,57.0,8 nominations total,Andrew Lobel,R,United States
166426,6.5,371251.0,30.0,39.0,1 win & 14 nominations total,"Jeff Nathanson, Terry Rossio, Ted Elliott",PG-13,"United States, Australia, United Kingdom, Canada"
9487,7.2,331002.0,92.0,78.0,Nominated for 1 Oscar. 14 wins & 21 nominations total,"John Lasseter, Andrew Stanton, Joe Ranft",G,United States
10198,7.2,180621.0,86.0,73.0,Nominated for 3 Oscars. 10 wins & 42 nominations total,"Ron Clements, John Musker, Greg Erb",G,"United States, Brazil, Canada"
454626,6.5,185523.0,64.0,47.0,3 wins & 12 nominations total,"Pat Casey, Josh Miller, Yuji Naka",PG,"United States, Japan, Canada, United Kingdom"
792307,7.8,352566.0,92.0,88.0,Won 4 Oscars. 120 wins & 424 nominations total,"Tony McNamara, Alasdair Gray",R,"Ireland, United Kingdom, United States, Hungary"
1734,6.4,358313.0,46.0,48.0,6 wins & 19 nominations total,Stephen Sommers,PG-13,"United States, Morocco, United Kingdom, Jordan"
1035048,5.6,25442.0,55.0,50.0,N/A,"John Glenn, Jacob Roman, Kenny Ryan",R,United States
22828,6.9,8648.0,88.0,84.0,3 wins & 6 nominations total,David Mamet,R,United States
1813,7.5,427718.0,63.0,60.0,2 wins & 7 nominations total,"Andrew Neiderman, Jonathan Lemkin, Tony Gilroy",R,United States
254128,6.1,269770.0,48.0,43.0,2 wins & 10 nominations total,"Carlton Cuse, Andre Fabrizio, Jeremy Passmore",PG-13,United States
10330,6.4,170069.0,88.0,70.0,5 wins & 11 nominations total,"Mary Rodgers, Heather Hach, Leslie Dixon",PG,United States
38,8.3,1150325.0,93.0,89.0,Won 1 Oscar. 73 wins & 111 nominations total,"Charlie Kaufman, Michel Gondry, Pierre Bismuth",R,United States
350,7.0,509456.0,75.0,62.0,Nominated for 2 Oscars. 21 wins & 53 nominations total,"Aline Brosh McKenna, Lauren Weisberger",PG-13,"United States, France"
605,6.7,565444.0,33.0,47.0,5 wins & 36 nominations total,"Lilly Wachowski, Lana Wachowski",R,"United States, Australia"
205596,8.0,860739.0,90.0,71.0,Won 1 Oscar. 49 wins & 167 nominations total,"Graham Moore, Andrew Hodges",PG-13,United States
7551,7.8,7.0,,,N/A,Carlos Alberto Gomes,N/A,Portugal
249397,6.6,101515.0,58.0,61.0,14 wins & 31 nominations total,Lars von Trier,Not Rated,"Denmark, Germany, Belgium, United Kingdom, France, Sweden"
1402,8.0,601035.0,67.0,64.0,Nominated for 1 Oscar. 12 wins & 26 nominations total,Steve Conrad,PG-13,United States
9509,7.7,406070.0,39.0,47.0,1 win & 7 nominations total,"A.J. Quinnell, Brian Helgeland",R,"Switzerland, United Kingdom, United States, Mexico"
760104,6.5,210580.0,94.0,80.0,4 wins & 49 nominations total,Ti West,R,"United States, New Zealand"
284054,7.3,889185.0,96.0,88.0,Won 3 Oscars. 124 wins & 289 nominations total,"Ryan Coogler, Joe Robert Cole, Stan Lee",PG-13,United States
29963,6.9,29294.0,83.0,81.0,Nominated for 1 Oscar. 16 wins & 54 nominations total,"Jane Campion, Andrew Motion",PG,"Australia, United Kingdom, France"
321612,7.1,350888.0,71.0,65.0,Nominated for 2 Oscars. 16 wins & 81 nominations total,"Stephen Chbosky, Evan Spiliotopoulos, Linda Woolverton",PG,United States
1160956,5.1,1670.0,43.0,,N/A,"Wei Xu, Meng Yida, Luan Zhang",N/A,China
103332,7.2,107157.0,79.0,67.0,1 win & 11 nominations total,Zoe Kazan,R,United States
840705,6.5,116569.0,75.0,66.0,5 wins & 22 nominations total,"Zoë Kravitz, E.T. Feigenbaum",R,"United States, Mexico"
126889,6.4,332786.0,65.0,65.0,3 wins & 18 nominations total,"Dan O'Bannon, Ronald Shusett, Jack Paglen",R,"United Kingdom, United States"
753342,6.3,177473.0,58.0,64.0,Nominated for 3 Oscars. 6 wins & 47 nominations total,David Scarpa,R,"United Kingdom, United States"
198184,6.8,279076.0,32.0,41.0,3 nominations total,"Neill Blomkamp, Terri Tatchell",R,"United States, South Africa, Mexico"
508,7.5,562203.0,64.0,55.0,Won 1 BAFTA Award11 wins & 29 nominations total,Richard Curtis,R,"United Kingdom, France, United States"
181812,,,,,N/A,N/A,N/A,United States
9273,6.4,243437.0,23.0,43.0,7 wins & 6 nominations total,"Jack Bernstein, Steve Oedekerk",PG-13,United States
762441,6.3,161086.0,86.0,68.0,5 wins & 12 nominations total,"Michael Sarnoski, John Krasinski, Bryan Woods",PG-13,"United States, United Kingdom, Canada"
524434,6.2,415580.0,47.0,52.0,7 wins & 18 nominations total,"Chloé Zhao, Patrick Burleigh, Ryan Firpo",PG-13,United States
330457,6.8,210898.0,77.0,64.0,Nominated for 1 Oscar. 18 wins & 95 nominations total,"Jennifer Lee, Hans Christian Andersen, Chris Buck",PG,"United States, Japan"
524047,6.4,148828.0,77.0,64.0,1 win & 2 nominations total,Chris Sparling,PG-13,"United States, United Kingdom"
9471,4.9,136835.0,41.0,48.0,9 wins & 21 nominations total,"Ivan Goff, Ben Roberts, John August",PG-13,United States
10483,6.4,224973.0,41.0,43.0,1 win & 5 nominations total,"Paul W.S. Anderson, Robert Thom, Charles B. Griffith",R,"United Kingdom, Germany, United States"
985939,6.4,126919.0,79.0,62.0,4 nominations total,"Jonathan Frank, Scott Mann",PG-13,"United Kingdom, United States"
76492,7.0,301057.0,45.0,47.0,2 wins & 15 nominations total,"Peter Baynham, Robert Smigel, Todd Durham",PG,"United States, Canada"
4922,7.8,726412.0,72.0,70.0,Won 3 Oscars. 85 wins & 160 nominations total,"Eric Roth, Robin Swicord, F. Scott Fitzgerald",PG-13,United States
197,8.3,1139840.0,76.0,68.0,Won 5 Oscars. 34 wins & 34 nominations total,Randall Wallace,R,United States
13448,6.7,319918.0,36.0,48.0,1 win & 5 nominations total,"David Koepp, Akiva Goldsman, Dan Brown",PG-13,"United States, Italy"
4248,5.4,185695.0,13.0,29.0,3 wins & 5 nominations total,"Shawn Wayans, Marlon Wayans, Buddy Johnson",R,United States
82690,7.7,485308.0,87.0,72.0,Nominated for 1 Oscar. 33 wins & 42 nominations total,"Rich Moore, Phil Johnston, Jim Reardon",PG,United States
607,7.3,647030.0,91.0,72.0,Won 1 Oscar. 22 wins & 39 nominations total,"Lowell Cunningham, Ed Solomon",PG-13,United States
44896,7.3,307725.0,88.0,75.0,Won 1 Oscar. 46 wins & 25 nominations total,"John Logan, Gore Verbinski, James Ward Byrkit",PG,"United States, United Kingdom"
5174,6.2,193672.0,17.0,44.0,9 nominations total,"Jeff Nathanson, Ross LaManna",PG-13,"United States, Germany"
917496,6.6,159082.0,75.0,62.0,9 wins & 48 nominations total,"Michael McDowell, Larry Wilson, Alfred Gough",PG-13,"United States, France"
57695,6.5,4331.0,85.0,78.0,2 wins & 9 nominations,"Jean Cosmos, Madame de La Fayette, François-Olivier Rousseau",Not Rated,"France, Germany"
902,7.4,73866.0,80.0,73.0,5 wins & 14 nominations total,"Gilles Adrien, Jean-Pierre Jeunet, Marc Caro",R,"France, Germany, Spain, Belgium"
480414,5.3,62410.0,26.0,41.0,1 win & 7 nominations total,"Mikki Daughtry, Tobias Iaconis",R,United States
568,7.7,329412.0,94.0,78.0,Won 2 Oscars. 31 wins & 59 nominations total,"Jim Lovell, Jeffrey Kluger, William Broyles Jr.",PG,United States
2109,7.0,317011.0,61.0,61.0,6 wins & 9 nominations total,"Ross LaManna, Jim Kouf",PG-13,United States
2907,7.0,192418.0,67.0,57.0,Nominated for 1 Oscar. 5 wins & 23 nominations total,"Charles Addams, Caroline Thompson, Larry Wilson",PG-13,United States
980489,7.1,126733.0,,48.0,3 nominations total,"Jason Hall, Zach Baylin, Alex Tse",PG-13,"Japan, United States"
1029235,5.4,11984.0,71.0,52.0,1 nomination total,Simon Barrett,R,"United States, Estonia"
787699,6.9,181228.0,82.0,66.0,Nominated for 1 BAFTA Award6 wins & 45 nominations total,"Roald Dahl, Paul King, Simon Farnaby",PG,"United States, United Kingdom, Canada"
507241,5.8,19161.0,46.0,36.0,1 win & 3 nominations total,"Rand Ravich, James Coyne, Jay Bonansinga",R,"Spain, United States, United Kingdom, Hungary"
9072,4.5,61671.0,12.0,26.0,6 wins & 15 nominations total,"Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans",PG-13,United States
1064486,7.8,20415.0,95.0,81.0,Nominated for 1 Oscar. 17 wins & 71 nominations total,Adam Elliot,R,Australia
262543,6.0,60974.0,31.0,37.0,6 nominations total,"Gabe Ibáñez, Igor Legarreta, Javier Sánchez Donate",R,"Spain, Bulgaria"
591,6.6,474936.0,25.0,46.0,8 wins & 21 nominations total,"Akiva Goldsman, Dan Brown",PG-13,"United States, Malta, France, United Kingdom"
346910,5.3,156053.0,34.0,48.0,1 win & 8 nominations total,"Fred Dekker, Shane Black, Jim Thomas",R,"Canada, United States, United Kingdom, India, Australia, Brazil, China"
32221,6.5,5746.0,100.0,,Nominated for 2 Oscars. 6 wins & 15 nominations total,Calder Willingham,R,United States
353081,7.7,407970.0,98.0,87.0,Nominated for 1 BAFTA Award26 wins & 41 nominations total,"Bruce Geller, Christopher McQuarrie",PG-13,"United States, China, France, Norway"
187,8.0,812897.0,76.0,74.0,38 wins & 54 nominations total,"Frank Miller, Robert Rodriguez",R,United States
1579,7.8,345985.0,65.0,68.0,Nominated for 3 Oscars. 9 wins & 23 nominations total,"Mel Gibson, Farhad Safinia",R,"United States, Mexico"
10202,6.0,103714.0,26.0,33.0,3 wins & 5 nominations total,"Matt Lopez, Tim Herlihy",PG,"United States, United Kingdom, Australia"
77,8.4,1397080.0,94.0,83.0,Nominated for 2 Oscars. 57 wins & 59 nominations total,"Christopher Nolan, Jonathan Nolan",R,United States
1417,8.2,731539.0,95.0,98.0,Won 3 Oscars. 109 wins & 115 nominations total,Guillermo del Toro,R,"Mexico, Spain"
497698,6.6,461309.0,79.0,68.0,14 wins & 34 nominations total,"Eric Pearson, Jac Schaeffer, Ned Benson",PG-13,United States
189,6.5,175697.0,42.0,46.0,4 wins & 6 nominations total,Frank Miller,R,"United States, United Kingdom"
242,7.6,443540.0,66.0,60.0,Nominated for 7 Oscars. 6 wins & 23 nominations total,"Mario Puzo, Francis Ford Coppola",R,United States
480530,7.1,165560.0,83.0,66.0,1 win & 12 nominations total,"Juel Taylor, Sylvester Stallone, Sascha Penn",PG-13,United States
96721,8.1,544257.0,89.0,74.0,Won 1 BAFTA Award6 wins & 66 nominations total,Peter Morgan,R,"United Kingdom, United States"
1084736,7.8,5731.0,,,1 nomination total,N/A,N/A,"France, Italy"
80321,6.8,208827.0,78.0,60.0,3 wins & 20 nominations total,"Eric Darnell, Noah Baumbach, Alejandro Bien-Willner",PG,"United States, India, United Kingdom"
11888,5.2,29177.0,26.0,29.0,1 win total,"Jim Kouf, Tommy Swerdlow, Michael Goldberg",PG,"Canada, United States"
180,7.6,608813.0,89.0,80.0,Nominated for 1 Oscar. 20 wins & 91 nominations total,"Scott Frank, Jon Cohen, Philip K. Dick",PG-13,United States
204082,6.5,137983.0,42.0,40.0,1 nomination total,"Sylvester Stallone, Chuck Logan",R,United States
13475,7.9,631604.0,94.0,82.0,Won 1 Oscar. 27 wins & 95 nominations total,"Roberto Orci, Alex Kurtzman, Gene Roddenberry",PG-13,"United States, Germany"
294254,6.3,296320.0,48.0,43.0,2 wins & 5 nominations total,"T.S. Nowlin, James Dashner",PG-13,United States
7345,8.2,680717.0,91.0,93.0,Won 2 Oscars. 114 wins & 138 nominations total,"Paul Thomas Anderson, Upton Sinclair",R,United States
2655,6.6,141301.0,49.0,51.0,7 wins & 7 nominations total,"Clark Gregg, Sarah Kernochan",PG-13,United States
1124,8.5,1538383.0,77.0,66.0,Nominated for 2 Oscars. 6 wins & 44 nominations total,"Jonathan Nolan, Christopher Nolan, Christopher Priest",PG-13,"United Kingdom, United States"
663712,6.0,77082.0,87.0,59.0,6 wins & 12 nominations total,Damien Leone,Unrated,United States
1032823,5.8,149877.0,57.0,52.0,3 wins & 6 nominations total,M. Night Shyamalan,PG-13,"United States, Canada"
39514,7.0,334085.0,72.0,60.0,4 wins & 19 nominations total,"Warren Ellis, Cully Hamner, Jon Hoeber",PG-13,United States
955,6.1,404699.0,,59.0,12 wins & 20 nominations total,"Bruce Geller, Ronald D. Moore, Brannon Braga",PG-13,"Germany, United States"
176,7.6,496080.0,50.0,46.0,9 wins & 10 nominations total,"Leigh Whannell, James Wan",R,United States
142,7.7,405033.0,88.0,87.0,Won 3 Oscars. 141 wins & 133 nominations total,"Annie Proulx, Larry McMurtry, Diana Ossana",R,"Canada, United States"
8363,7.6,672775.0,88.0,76.0,11 wins & 24 nominations total,"Seth Rogen, Evan Goldberg",R,United States
530915,8.2,741317.0,88.0,78.0,Won 3 Oscars. 135 wins & 200 nominations total,"Sam Mendes, Krysty Wilson-Cairns",R,"United Kingdom, United States, India, Spain, Canada"
940721,7.7,177204.0,99.0,81.0,Won 1 Oscar. 43 wins & 62 nominations total,"Takashi Yamazaki, Ishirô Honda, Takeo Murata",PG-13,Japan
81005,6.3,152466.0,52.0,51.0,1 win & 4 nominations total,"Darren Lemke, Christopher McQuarrie, Dan Studney",PG-13,United States
9358,6.2,210690.0,52.0,38.0,4 nominations total,"J. Mackye Gruber, Eric Bress, Jeffrey Reddick",R,"United States, Canada"
297,7.2,287417.0,47.0,43.0,3 wins & 6 nominations total,"Ron Osborn, Jeff Reno, Kevin Wade",PG-13,United States
2668,7.3,401630.0,71.0,65.0,Won 1 Oscar. 28 wins & 44 nominations total,"Washington Irving, Kevin Yagher, Andrew Kevin Walker",R,"United States, Germany, United Kingdom"
23483,7.6,613199.0,78.0,66.0,19 wins & 63 nominations total,"Jane Goldman, Matthew Vaughn, Mark Millar",R,"United Kingdom, United States"
964980,7.4,186369.0,93.0,73.0,5 wins & 48 nominations total,Alex Convery,R,United States
399402,6.6,78776.0,38.0,43.0,1 win total,"Arne Schmidt, Jamie Moss, George Wallace",R,"United Kingdom, China, France, United States"
772,6.9,434118.0,35.0,46.0,3 wins & 3 nominations total,John Hughes,PG,United States
580489,5.9,293352.0,58.0,49.0,1 win & 6 nominations total,"Kelly Marcel, Tom Hardy",PG-13,United States
613504,5.1,41903.0,13.0,14.0,1 win total,"Anna Todd, Mario Celaya",R,United States
9902,6.1,141534.0,41.0,32.0,3 nominations total,Alan B. McElroy,R,"United States, Germany, Canada"
577922,7.3,641768.0,70.0,69.0,Won 1 Oscar. 49 wins & 134 nominations total,Christopher Nolan,PG-13,"United States, United Kingdom"
1985,7.3,152681.0,83.0,82.0,Won 1 Oscar. 35 wins & 70 nominations total,"Jeffrey Caine, John le Carré",R,"United Kingdom, Germany, Kenya, France, United States, Switzerland"
273481,7.7,517253.0,92.0,82.0,Nominated for 3 Oscars. 15 wins & 157 nominations total,Taylor Sheridan,R,"United States, Mexico, Hong Kong"
109451,6.3,122321.0,71.0,59.0,Nominated for 1 BAFTA Award16 nominations total,"Erica Rivinoja, John Francis Daley, Jonathan Goldstein",PG,"United States, Canada"
335797,7.1,206430.0,71.0,59.0,3 wins & 25 nominations total,Garth Jennings,PG,"Japan, United States"
102651,6.9,416024.0,54.0,56.0,Nominated for 1 Oscar. 12 wins & 44 nominations total,"Linda Woolverton, Charles Perrault, Milt Banta",PG,"United States, Canada, United Kingdom"
23168,7.5,437147.0,92.0,74.0,Nominated for 1 Oscar. 9 wins & 46 nominations total,"Peter Craig, Ben Affleck, Aaron Stockard",R,"United States, United Kingdom"
246655,6.8,483756.0,47.0,52.0,1 win & 19 nominations total,"Simon Kinberg, Bryan Singer, Michael Dougherty",PG-13,United States
1064028,5.4,30869.0,49.0,,1 nomination total,"Will Honley, April Maguire",R,United States
464052,5.3,305637.0,57.0,60.0,27 wins & 48 nominations total,"Patty Jenkins, Geoff Johns, Dave Callaham",PG-13,United States
8961,6.6,282675.0,23.0,38.0,5 wins & 13 nominations total,"George Gallo, Marianne Wibberley, Cormac Wibberley",R,United States
166424,4.3,187077.0,9.0,27.0,8 wins & 4 nominations total,"Jeremy Slater, Simon Kinberg, Josh Trank",PG-13,"United States, Germany, United Kingdom, Canada"
508442,8.0,415027.0,95.0,83.0,Won 2 Oscars. 124 wins & 91 nominations total,"Pete Docter, Mike Jones, Kemp Powers",PG,United States
333669,4.6,4934.0,,,N/A,"Christian Clavier, Jean-Marie Poiré",N/A,"France, Belgium, Czech Republic"
169917,6.5,129214.0,68.0,57.0,1 nomination total,"Lawrence Block, Scott Frank",R,United States
549509,7.3,98729.0,93.0,90.0,Won 3 Oscars. 135 wins & 344 nominations total,"Brady Corbet, Mona Fastvold",R,"United States, United Kingdom, Canada"
11237,4.7,35550.0,26.0,40.0,2 nominations total,"Hans Bauer, Jim Cash, Jack Epps Jr.",PG-13,"United States, Australia"
193893,6.4,141849.0,18.0,30.0,2 nominations total,"Luke Greenfield, Nicholas Thomas",R,United States
424694,7.9,629645.0,60.0,49.0,Won 4 Oscars. 50 wins & 80 nominations total,"Anthony McCarten, Peter Morgan",PG-13,"United Kingdom, United States"
5255,6.6,258908.0,55.0,61.0,Nominated for 3 Oscars. 5 wins & 26 nominations total,"Chris Van Allsburg, Robert Zemeckis, William Broyles Jr.",G,"United States, Australia"
375588,5.3,83968.0,14.0,32.0,4 nominations total,"Ben Chandler, David James Kelly",PG-13,"United States, Hong Kong, United Kingdom, France"
77877,6.4,116791.0,20.0,39.0,5 wins & 7 nominations total,"Will Fetters, Nicholas Sparks",PG-13,United States
10315,7.9,289573.0,93.0,83.0,Nominated for 2 Oscars. 32 wins & 63 nominations total,"Roald Dahl, Wes Anderson, Noah Baumbach",PG,"United States, United Kingdom"
339403,7.5,653117.0,92.0,86.0,Nominated for 3 Oscars. 43 wins & 66 nominations total,Edgar Wright,R,"United Kingdom, United States"
334,8.0,340400.0,82.0,78.0,Nominated for 3 Oscars. 28 wins & 59 nominations total,Paul Thomas Anderson,R,United States
839033,6.3,35328.0,49.0,54.0,2 nominations total,"Jeffrey Addiss, Will Matthews, Phoebe Gittins",PG-13,"United States, New Zealand, Japan"
284052,7.5,855819.0,89.0,72.0,Nominated for 1 Oscar. 21 wins & 68 nominations total,"Jon Spaihts, Scott Derrickson, C. Robert Cargill",PG-13,"United States, Hong Kong, Nepal"
27,4.7,24468.0,23.0,43.0,1 win & 2 nominations total,Michael Winterbottom,Not Rated,United Kingdom
493529,7.2,264987.0,,72.0,4 wins & 21 nominations total,"Jonathan Goldstein, John Francis Daley, Michael Gilio",PG-13,"United States, Canada, United Kingdom, Iceland, Ireland, Australia"
913290,7.0,237152.0,92.0,78.0,5 wins & 38 nominations total,Zach Cregger,R,"Bulgaria, United States"
13183,7.6,602792.0,64.0,56.0,12 wins & 24 nominations total,"Dave Gibbons, David Hayter, Alex Tse",R,United States
758323,6.1,98266.0,51.0,45.0,1 win & 3 nominations total,"Michael Petroni, Evan Spiliotopoulos, R. Dean McCreary",R,"United States, Spain, United Kingdom"
49047,7.7,888181.0,96.0,96.0,Won 7 Oscars. 240 wins & 188 nominations total,"Alfonso Cuarón, Jonás Cuarón",PG-13,"United Kingdom, United States"
140300,7.1,208416.0,87.0,66.0,1 win & 10 nominations total,"Jonathan Aibel, Glenn Berger, Ethan Reiff",PG,"United States, China"
949,8.3,773511.0,84.0,76.0,15 nominations total,Michael Mann,R,United States
27578,6.4,375197.0,41.0,45.0,3 wins & 5 nominations total,"Dave Callaham, Sylvester Stallone",R,"United States, Bulgaria, Spain, Germany"
181533,6.2,144555.0,48.0,47.0,1 win & 5 nominations total,"David Guion, Michael Handelman, Mark Friedman",PG,"United Kingdom, United States"
49530,6.7,470484.0,36.0,53.0,2 nominations total,Andrew Niccol,PG-13,United States
650,7.8,164419.0,96.0,76.0,Nominated for 2 Oscars. 12 wins & 28 nominations total,John Singleton,R,United States
19912,5.1,135432.0,28.0,30.0,2 wins & 2 nominations total,"Eric Bress, Jeffrey Reddick",R,United States
9737,6.8,308258.0,44.0,41.0,1 win & 3 nominations total,"George Gallo, Michael Barrie, Jim Mulholland",R,United States
333484,6.9,240021.0,64.0,54.0,5 wins & 12 nominations total,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni",PG-13,"United States, Australia"
843,8.1,181324.0,92.0,87.0,Nominated for 1 BAFTA Award45 wins & 50 nominations total,Wong Kar-Wai,PG,"Hong Kong, France"
1278,7.1,139212.0,59.0,63.0,2 wins & 11 nominations total,Gilbert Adair,NC-17,"United Kingdom, France, Italy, United States"
9614,7.0,293294.0,64.0,31.0,1 win & 4 nominations total,"Tim Herlihy, Adam Sandler",PG-13,United States
467244,7.3,138090.0,93.0,92.0,Won 2 Oscars. 71 wins & 185 nominations total,"Jonathan Glazer, Martin Amis",PG-13,"United Kingdom, Poland, United States"
4348,7.8,361619.0,87.0,82.0,Nominated for 4 Oscars. 13 wins & 59 nominations total,"Deborah Moggach, Jane Austen, Emma Thompson",PG,"United Kingdom, France, United States"
677179,6.7,101983.0,89.0,73.0,2 wins & 26 nominations total,"Keenan Coogler, Zach Baylin, Ryan Coogler",PG-13,United States
1359,7.6,793967.0,68.0,64.0,7 wins & 11 nominations total,"Bret Easton Ellis, Mary Harron, Guinevere Turner",R,United States
37724,7.8,756423.0,92.0,81.0,Won 2 Oscars. 69 wins & 125 nominations total,"Neal Purvis, Robert Wade, John Logan",PG-13,"United Kingdom, United States, Turkey, China"
312221,7.6,326630.0,95.0,82.0,Nominated for 1 Oscar. 45 wins & 66 nominations total,"Ryan Coogler, Aaron Covington, Sylvester Stallone",PG-13,United States
546554,7.9,831264.0,97.0,82.0,Nominated for 1 Oscar. 52 wins & 113 nominations total,Rian Johnson,PG-13,United States
227159,6.3,190776.0,35.0,40.0,1 win & 6 nominations total,"Sean Anders, John Morris, Jonathan Goldstein",R,United States
508943,7.4,213710.0,91.0,71.0,Nominated for 1 Oscar. 6 wins & 82 nominations total,"Enrico Casarosa, Jesse Andrews, Simon Stephenson",PG,United States
420817,6.9,307065.0,57.0,53.0,9 wins & 39 nominations total,"John August, Guy Ritchie",PG,"United States, United Kingdom, Singapore, Canada, Czech Republic, Serbia, China"
639933,7.0,285900.0,90.0,82.0,5 wins & 54 nominations total,"Sjón, Robert Eggers",R,"United Kingdom, China, United States"
73723,6.4,138604.0,,46.0,4 wins & 8 nominations total,"Dr. Seuss, Cinco Paul, Ken Daurio",PG,"United States, France"
629,8.5,1203191.0,87.0,76.0,Won 2 Oscars. 37 wins & 17 nominations total,Christopher McQuarrie,R,"United States, Germany"
38575,6.3,220844.0,67.0,61.0,5 wins & 12 nominations total,"Christopher Murphey, Robert Mark Kamen",PG,"United States, China, Hong Kong"
318846,7.8,521325.0,89.0,81.0,Won 1 Oscar. 37 wins & 81 nominations total,"Charles Randolph, Adam McKay, Michael Lewis",R,United States
281957,8.0,920664.0,78.0,76.0,Won 3 Oscars. 94 wins & 193 nominations total,"Mark L. Smith, Alejandro G. Iñárritu, Michael Punke",R,"United States, Hong Kong, Taiwan, Argentina"
9339,6.4,377519.0,34.0,45.0,Nominated for 1 Oscar. 3 wins & 12 nominations total,"Steve Koren, Mark O'Keefe",PG-13,United States
1440,7.5,119602.0,81.0,75.0,Nominated for 3 Oscars. 20 wins & 61 nominations total,"Todd Field, Tom Perrotta",R,United States
718821,6.5,182187.0,75.0,65.0,36 nominations total,"Mark L. Smith, Joseph Kosinski, Michael Crichton",PG-13,"Japan, United States"
10764,6.5,486264.0,63.0,58.0,Nominated for 2 BAFTA 4 wins & 32 nominations total,"Paul Haggis, Neal Purvis, Robert Wade",PG-13,"United Kingdom, United States, Italy"
10527,6.6,261941.0,64.0,61.0,4 wins & 11 nominations total,"Etan Cohen, Eric Darnell, Tom McGrath",PG,"United States, United Kingdom"
64690,7.8,740334.0,93.0,79.0,Nominated for 1 Oscar. 79 wins & 180 nominations total,"Hossein Amini, James Sallis",R,United States
24,8.2,1268217.0,85.0,69.0,Nominated for 5 BAFTA 30 wins & 103 nominations total,"Quentin Tarantino, Uma Thurman",R,United States
893723,5.9,6081.0,72.0,49.0,1 win & 8 nominations total,"Cal Brunker, Bob Barlen, Shane Morris",PG,"Canada, United States"
447332,7.5,637961.0,96.0,82.0,Nominated for 1 Oscar. 38 wins & 129 nominations total,"Bryan Woods, Scott Beck, John Krasinski",PG-13,United States
10528,7.5,695036.0,70.0,57.0,Nominated for 2 Oscars. 10 wins & 31 nominations total,"Michael Robert Johnson, Anthony Peckham, Simon Kinberg",PG-13,"United States, Germany"
400535,7.1,183382.0,62.0,61.0,1 win & 8 nominations total,Taylor Sheridan,R,United States
2024,7.2,305970.0,61.0,63.0,Nominated for 3 Oscars. 9 wins & 23 nominations total,Robert Rodat,R,"Germany, United States"
345,7.5,406208.0,76.0,69.0,12 wins & 30 nominations total,"Stanley Kubrick, Frederic Raphael, Arthur Schnitzler",TV-MA,"United Kingdom, United States"
341174,4.6,118174.0,11.0,33.0,3 wins & 13 nominations total,"Niall Leonard, E.L. James",R,"China, Japan, United States"
520763,,,91.0,,N/A,N/A,N/A,N/A
259316,7.2,528580.0,74.0,66.0,Won 1 Oscar. 15 wins & 54 nominations total,J.K. Rowling,PG-13,"United Kingdom, United States, Canada"
763215,6.1,112340.0,57.0,46.0,1 win & 1 nomination total,Dan Mazeau,PG-13,United States
75780,7.0,382263.0,64.0,50.0,1 win & 6 nominations total,"Lee Child, Christopher McQuarrie",PG-13,United States
240832,6.4,564764.0,67.0,62.0,1 win & 12 nominations total,Luc Besson,R,"France, Germany, Taiwan, Canada, United Kingdom"
296,6.3,430830.0,70.0,66.0,3 wins & 24 nominations total,"John Brancato, Michael Ferris, Tedi Sarafian",R,"United Kingdom, Germany, United States"
70,8.1,752495.0,90.0,86.0,Won 4 Oscars. 68 wins & 86 nominations total,"Paul Haggis, F.X. Toole",PG-13,United States
181808,4.3,72.0,,,N/A,N/A,N/A,United States
335977,6.5,224125.0,71.0,58.0,Nominated for 1 Oscar. 10 wins & 39 nominations total,"Jez Butterworth, John-Henry Butterworth, David Koepp",PG-13,United States
420818,6.8,286086.0,52.0,55.0,Nominated for 1 Oscar. 21 wins & 44 nominations total,"Jeff Nathanson, Irene Mecchi, Jonathan Roberts",PG,"United States, United Kingdom, Kenya"
365177,4.7,53038.0,10.0,26.0,1 win & 12 nominations total,"Eli Roth, Joe Abercrombie",PG-13,"United States, Hungary"
615777,7.1,197711.0,57.0,61.0,Nominated for 3 Oscars. 45 wins & 158 nominations total,Damien Chazelle,R,United States
270303,,,,,N/A,"Jonathan Elliot Levy, Casey Smith",N/A,United States
9693,7.9,552433.0,92.0,84.0,Nominated for 3 Oscars. 49 wins & 89 nominations total,"Alfonso Cuarón, Timothy J. Sexton, David Arata",R,"United States, United Kingdom, Japan"
712,7.1,175654.0,92.0,81.0,Nominated for 2 Oscars. 24 wins & 27 nominations total,Richard Curtis,R,United Kingdom
56292,7.4,555260.0,94.0,73.0,5 wins & 30 nominations total,"Bruce Geller, Josh Appelbaum, André Nemec",PG-13,"United States, United Arab Emirates, Russia, Canada, Czech Republic, India"
