id,imdb_rating,imdb_votes,rotten_tomatoes_score,metacritic_score,awards,writer,rated,country
8681,7.7,661427.0,60.0,51.0,2 wins & 2 nominations total,"Luc Besson, Robert Mark Kamen",PG-13,"France, United Kingdom, United States"
507086,5.6,235077.0,29.0,38.0,1 win & 25 nominations total,"Emily Carmichael, Colin Trevorrow, Derek Connolly",PG-13,"United States, China"
131631,6.6,530835.0,70.0,64.0,21 wins & 32 nominations total,"Peter Craig, Danny Strong, Suzanne Collins",PG-13,"United States, Canada, France"
10674,7.7,336334.0,92.0,72.0,Nominated for 1 Oscar. 17 wins & 21 nominations total,"Robert D. San Souci, Rita Hsiao, Chris Sanders",G,United States
698508,6.7,18365.0,11.0,32.0,1 win & 1 nomination total,"Francine Rivers, D.J. Caruso",PG-13,United States
62213,6.2,289219.0,35.0,55.0,3 wins & 12 nominations total,"Seth Grahame-Smith, John August, Dan Curtis",PG-13,"United States, Australia, United Kingdom"
76338,6.7,759902.0,67.0,54.0,4 wins & 21 nominations total,"Christopher L. Yost, Christopher Markus, Stephen McFeely",PG-13,"United States, Iceland"
333339,7.4,525610.0,71.0,64.0,Nominated for 1 Oscar. 11 wins & 58 nominations total,"Zak Penn, Ernest Cline",PG-13,"United States, India, Singapore, Canada, United Kingdom, Japan, Australia"
47971,5.2,99890.0,46.0,42.0,2 wins & 7 nominations total,"Rich Wilkes, F. Scott Frazier",PG-13,"China, Canada, United States"
8587,8.5,1219191.0,92.0,88.0,Won 2 Oscars. 43 wins & 35 nominations total,"Irene Mecchi, Jonathan Roberts, Linda Woolverton",G,United States
118,6.7,557021.0,83.0,72.0,Nominated for 1 Oscar. 15 wins & 52 nominations total,"Roald Dahl, John August",PG,"United Kingdom, United States"
324552,7.4,551916.0,89.0,75.0,4 wins & 10 nominations total,Derek Kolstad,R,"United States, Italy, Hong Kong, Canada"
50619,4.9,266157.0,26.0,45.0,11 wins & 22 nominations total,"Melissa Rosenberg, Stephenie Meyer",PG-13,United States
953,6.9,465147.0,55.0,57.0,4 wins & 32 nominations total,"Mark Burton, Billy Frolick, Eric Darnell",PG,"United States, Canada, United Kingdom"
566525,7.3,469596.0,92.0,71.0,Nominated for 1 Oscar. 19 wins & 67 nominations total,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",PG-13,United States
12155,6.4,459548.0,51.0,53.0,Won 2 Oscars. 35 wins & 65 nominations total,"Linda Woolverton, Lewis Carroll",PG,"United States, Italy, Canada, Japan, United Kingdom"
41154,7.9,7.0,,,N/A,N/A,N/A,USA
310,6.8,457859.0,48.0,46.0,7 wins & 9 nominations total,"Steve Koren, Mark O'Keefe, Steve Oedekerk",PG-13,United States
568124,7.2,286569.0,,75.0,Won 1 Oscar. 58 wins & 86 nominations total,"Charise Castro Smith, Jared Bush, Byron Howard",PG,United States
799583,6.8,145407.0,68.0,55.0,1 win & 2 nominations total,"Paul Tamasy, Eric Johnson, Arash Amel",R,"United States, United Kingdom, Turkey"
739405,6.3,104579.0,51.0,51.0,N/A,"Guy Ritchie, Ivan Atkinson, Marn Davies",R,"United Kingdom, United States, China, Indonesia, Turkey"
98368,5.4,3008.0,,,2 wins & 9 nominations,Joko Anwar,R,Indonesia
466420,7.6,288611.0,93.0,89.0,Nominated for 10 Oscars. 136 wins & 424 nominations total,"Eric Roth, Martin Scorsese, David Grann",R,United States
4995,7.9,294236.0,94.0,86.0,Nominated for 3 Oscars. 36 wins & 64 nominations total,Paul Thomas Anderson,R,United States
384018,6.5,251536.0,67.0,60.0,1 win & 25 nominations total,"Chris Morgan, Drew Pearce, Gary Scott Thompson",PG-13,"United States, Japan"
438695,7.3,97271.0,72.0,49.0,2 wins & 21 nominations total,Garth Jennings,PG,"Japan, United States"
298618,6.6,238589.0,63.0,55.0,5 wins & 7 nominations total,"Christina Hodson, John Francis Daley, Jonathan Goldstein",PG-13,"United States, Canada, Australia, New Zealand"
98,8.5,1788589.0,80.0,67.0,Won 5 Oscars. 60 wins & 104 nominations total,"David Franzoni, John Logan, William Nicholson",R,"United States, United Kingdom, Malta, Morocco"
260346,6.0,211406.0,13.0,26.0,3 wins & 3 nominations total,"Luc Besson, Robert Mark Kamen",PG-13,"France, Spain, United States"
74,6.6,496392.0,76.0,73.0,Nominated for 3 Oscars. 16 wins & 49 nominations total,"Josh Friedman, David Koepp, H.G. Wells",PG-13,United States
9794,5.6,51956.0,20.0,36.0,2 nominations total,"Don Calame, Chris Conroy, Greg Coolidge",PG-13,United States
76341,8.1,1179214.0,97.0,90.0,Won 6 Oscars. 245 wins & 234 nominations total,"George Miller, Brendan McCarthy, Nick Lathouris",R,"Australia, United States"
396422,6.5,162360.0,70.0,62.0,1 win & 8 nominations total,Gary Dauberman,R,United States
168259,7.1,431080.0,82.0,67.0,36 wins & 36 nominations total,"Chris Morgan, Gary Scott Thompson",PG-13,"United States, China, Japan, Canada, United Arab Emirates"
667538,6.0,125200.0,51.0,42.0,2 wins & 10 nominations total,"Joby Harold, Darnell Metayer, Josh Peters",PG-13,"United States, Canada, United Kingdom, New Zealand, Hungary, Peru, China"
62177,7.1,467171.0,78.0,69.0,Won 1 Oscar. 20 wins & 48 nominations total,"Brenda Chapman, Mark Andrews, Steve Purcell",PG,"United States, Japan, United Kingdom"
1495,7.3,339424.0,39.0,63.0,5 wins & 15 nominations total,William Monahan,R,"United Kingdom, Germany, Spain, Morocco, United States, Italy, France"
10195,7.0,944817.0,77.0,57.0,5 wins & 30 nominations total,"Ashley E. Miller, Zack Stentz, Don Payne",PG-13,"United States, France"
756999,,,,,N/A,N/A,N/A,N/A
9787,7.1,59243.0,55.0,56.0,1 win & 7 nominations total,Stacy Peralta,PG-13,"Germany, United States"
2043,6.4,99408.0,32.0,42.0,1 win & 1 nomination total,"James Patterson, Marc Moss",R,"United States, Germany, Canada"
3049,6.9,342014.0,48.0,37.0,5 wins & 6 nominations total,"Jack Bernstein, Tom Shadyac, Jim Carrey",PG-13,United States
250546,5.5,186283.0,28.0,37.0,3 wins & 7 nominations total,Gary Dauberman,R,United States
489,8.3,1156864.0,97.0,71.0,Won 2 Oscars. 25 wins & 61 nominations total,"Matt Damon, Ben Affleck",R,United States
926393,6.8,151651.0,76.0,58.0,6 nominations total,"Richard Wenk, Michael Sloan, Richard Lindheim",R,"United States, Italy, Australia"
20352,7.6,616759.0,80.0,72.0,Nominated for 1 BAFTA Award3 wins & 41 nominations total,"Cinco Paul, Ken Daurio, Sergio Pablos",PG,"United States, France"
49521,7.1,851213.0,57.0,55.0,Nominated for 1 BAFTA Award7 wins & 46 nominations total,"David S. Goyer, Christopher Nolan, Jerry Siegel",PG-13,"United States, United Kingdom, Canada"
10140,6.3,173240.0,50.0,53.0,2 wins & 19 nominations total,"Christopher Markus, Stephen McFeely, Michael Petroni",PG,"United States, United Kingdom, Canada, Australia, Germany"
957452,4.7,37754.0,87.0,30.0,1 win & 2 nominations total,"James O'Barr, Zach Baylin, William Josef Schneider",R,"United States, United Kingdom, France, Czech Republic, Germany"
698687,7.6,56562.0,89.0,65.0,25 nominations total,"Eric Pearson, Andrew Barrer, Gabriel Ferrari",PG,United States
50014,8.1,516093.0,75.0,62.0,Won 1 Oscar. 79 wins & 121 nominations total,"Tate Taylor, Kathryn Stockett",PG-13,"United States, India"
1724,6.6,551341.0,68.0,61.0,2 wins & 10 nominations total,"Zak Penn, Stan Lee, Jack Kirby",PG-13,"United States, Canada, Japan"
9820,6.7,165056.0,87.0,63.0,2 wins & 7 nominations total,"Erich Kästner, David Swift, Nancy Meyers",PG,"United States, United Kingdom"
11544,7.4,236124.0,86.0,75.0,Nominated for 1 Oscar. 12 wins & 28 nominations total,"Chris Sanders, Dean DeBlois",PG,"United States, Japan"
1100782,6.7,117068.0,86.0,67.0,5 wins & 17 nominations total,Parker Finn,R,"United States, Canada"
68726,6.9,549323.0,72.0,65.0,Nominated for 1 BAFTA Award7 wins & 48 nominations total,"Travis Beacham, Guillermo del Toro",PG-13,"United States, Mexico"
141052,6.0,495831.0,39.0,45.0,2 wins & 14 nominations total,"Jerry Siegel, Joe Shuster, Chris Terrio",PG-13,"United States, Canada, United Kingdom"
